Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"KLK6","Kallikrein Related Peptidase 6","Protein Coding","Q92876","56","GC19M050958","1.98103356361389","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLK6"
"APOBEC3H","Apolipoprotein B MRNA Editing Enzyme Catalytic Subunit 3H","Protein Coding","Q6NTF7","40","GC22P039097","1.98103332519531","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOBEC3H"
"STAT5A","Signal Transducer And Activator Of Transcription 5A","Protein Coding","P42229","62","GC17P042287","1.98098850250244","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT5A"
"NR3C2","Nuclear Receptor Subfamily 3 Group C Member 2","Protein Coding","P08235","59","GC04M148078","1.97793567180634","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR3C2"
"MYO6","Myosin VI","Protein Coding","Q9UM54","55","GC06P075749","1.97674834728241","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYO6"
"MIR199A1","MicroRNA 199a-1","RNA Gene","","29","GC19M010817","1.97616517543793","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR199A1"
"IGF2","Insulin Like Growth Factor 2","Protein Coding","P01344","61","GC11M013301","1.97337889671326","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF2"
"MECP2","Methyl-CpG Binding Protein 2","Protein Coding","P51608","59","GC0XM154021","1.96914875507355","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MECP2"
"KIT","KIT Proto-Oncogene, Receptor Tyrosine Kinase","Protein Coding","P10721","66","GC04P054657","1.96846163272858","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIT"
"CD46","CD46 Molecule","Protein Coding","P15529","60","GC01P207752","1.96846163272858","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD46"
"LDHA","Lactate Dehydrogenase A","Protein Coding","P00338","63","GC11P018394","1.96770715713501","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LDHA"
"APAF1","Apoptotic Peptidase Activating Factor 1","Protein Coding","O14727","60","GC12P098645","1.96609127521515","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APAF1"
"HMGCR","3-Hydroxy-3-Methylglutaryl-CoA Reductase","Protein Coding","P04035","61","GC05P075336","1.96578598022461","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMGCR"
"MIR21","MicroRNA 21","RNA Gene","","33","GC17P134223","1.96407198905945","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR21"
