Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"AICDA","Activation Induced Cytidine Deaminase","Protein Coding","Q9GZX7","56","GC12M008602","16.9049415588379","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AICDA"
"CCR5","C-C Motif Chemokine Receptor 5","Protein Coding","P51681","59","GC03P061355","16.759162902832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR5"
"CXCL12","C-X-C Motif Chemokine Ligand 12","Protein Coding","P48061","59","GC10M044370","13.0181522369385","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL12"
"TNF","Tumor Necrosis Factor","Protein Coding","P01375","65","GC06P156244","12.2087726593018","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNF"
"IL10","Interleukin 10","Protein Coding","P22301","60","GC01M206767","12.1218519210815","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL10"
"IL6","Interleukin 6","Protein Coding","P05231","63","GC07P022725","12.070990562439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6"
"CCR2","C-C Motif Chemokine Receptor 2","Protein Coding","P41597","58","GC03P061354","11.8625688552856","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR2"
"IFNG","Interferon Gamma","Protein Coding","P01579","63","GC12M068154","11.840142250061","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNG"
"CX3CR1","C-X3-C Motif Chemokine Receptor 1","Protein Coding","P49238","57","GC03M039279","11.0558462142944","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CX3CR1"
"CD4","CD4 Molecule","Protein Coding","P01730","63","GC12P006786","10.3428688049316","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD4"
"CXCR4","C-X-C Motif Chemokine Receptor 4","Protein Coding","P61073","65","GC02M136114","10.226957321167","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCR4"
"CCL5","C-C Motif Chemokine Ligand 5","Protein Coding","P13501","56","GC17M035871","10.1891946792603","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL5"
"B2M","Beta-2-Microglobulin","Protein Coding","P61769","62","GC15P044711","9.96478652954102","https://www.genecards.org/cgi-bin/carddisp.pl?gene=B2M"
"CCL3","C-C Motif Chemokine Ligand 3","Protein Coding","P10147","54","GC17M036088","8.98839664459229","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL3"
"ITIH4","Inter-Alpha-Trypsin Inhibitor Heavy Chain 4","Protein Coding","Q14624","54","GC03M052812","8.79612922668457","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITIH4"
"GFAP","Glial Fibrillary Acidic Protein","Protein Coding","P14136","61","GC17M089491","8.24666881561279","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GFAP"
"CCL2","C-C Motif Chemokine Ligand 2","Protein Coding","P13500","61","GC17P034255","8.11706161499023","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL2"
"HLA-C","Major Histocompatibility Complex, Class I, C","Protein Coding","P10321","56","GC06M100254","8.07468223571777","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-C"
"APOE","Apolipoprotein E","Protein Coding","P02649","62","GC19P133238","7.94190788269043","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOE"
"POLG","DNA Polymerase Gamma, Catalytic Subunit","Protein Coding","P54098","60","GC15M156028","7.77781248092651","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLG"
"IL1B","Interleukin 1 Beta","Protein Coding","P01584","60","GC02M112829","7.7528133392334","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1B"
"MYC","MYC Proto-Oncogene, BHLH Transcription Factor","Protein Coding","P01106","65","GC08P127735","7.74415636062622","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYC"
"CD9","CD9 Molecule","Protein Coding","P21926","56","GC12P046724","7.66851282119751","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD9"
"CD40LG","CD40 Ligand","Protein Coding","P29965","62","GC0XP136649","7.37293434143066","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD40LG"
"LINC01672","Long Intergenic Non-Protein Coding RNA 1672","RNA Gene","","19","GC01P060062","7.29017734527588","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01672"
"IL2RA","Interleukin 2 Receptor Subunit Alpha","Protein Coding","P01589","63","GC10M006010","7.27133512496948","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2RA"
"IL4R","Interleukin 4 Receptor","Protein Coding","P24394","60","GC16P104696","7.26075458526611","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL4R"
"HLA-B","Major Histocompatibility Complex, Class I, B","Protein Coding","P01889","59","GC06M100255","7.18451118469238","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-B"
"CYP2B6","Cytochrome P450 Family 2 Subfamily B Member 6","Protein Coding","P20813","58","GC19P040991","7.0531530380249","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2B6"
"IL2","Interleukin 2","Protein Coding","P60568","58","GC04M122451","6.97139978408813","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2"
"CD209","CD209 Molecule","Protein Coding","Q9NNX6","56","GC19M007739","6.96802568435669","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD209"
"IL4","Interleukin 4","Protein Coding","P05112","59","GC05P132673","6.88170337677002","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL4"
"CSF2","Colony Stimulating Factor 2","Protein Coding","P04141","58","GC05P132073","6.82662439346313","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSF2"
"BCL6","BCL6 Transcription Repressor","Protein Coding","P41182","59","GC03M187721","6.76559638977051","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL6"
"ALB","Albumin","Protein Coding","P02768","61","GC04P073397","6.75901651382446","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALB"
"IFNA1","Interferon Alpha 1","Protein Coding","P01562","51","GC09P021872","6.68755340576172","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA1"
"DHFR","Dihydrofolate Reductase","Protein Coding","P00374","61","GC05M080626","6.67050361633301","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DHFR"
"NFKB1","Nuclear Factor Kappa B Subunit 1","Protein Coding","P19838","66","GC04P102501","6.6591157913208","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFKB1"
"HCP5","HLA Complex P5","RNA Gene","Q6MZN7","37","GC06P031400","6.52768516540527","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HCP5"
"ADA","Adenosine Deaminase","Protein Coding","P00813","63","GC20M044620","6.50019359588623","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADA"
"OSM","Oncostatin M","Protein Coding","P13725","55","GC22M030262","6.35147905349731","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OSM"
"TP53","Tumor Protein P53","Protein Coding","P04637","66","GC17M007661","6.3361349105835","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53"
"UCHL1","Ubiquitin C-Terminal Hydrolase L1","Protein Coding","P09936","65","GC04P041256","6.32588958740234","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UCHL1"
"FAS","Fas Cell Surface Death Receptor","Protein Coding","P25445","64","GC10P116129","6.28909301757813","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAS"
"CCL3L1","C-C Motif Chemokine Ligand 3 Like 1","Protein Coding","P16619","37","GC17Mj00250","6.22652196884155","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL3L1"
"HLA-A","Major Histocompatibility Complex, Class I, A","Protein Coding","P04439","58","GC06P156203","6.1888165473938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-A"
"IL10RA","Interleukin 10 Receptor Subunit Alpha","Protein Coding","Q13651","57","GC11P118000","6.13880920410156","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL10RA"
"SQSTM1","Sequestosome 1","Protein Coding","Q13501","62","GC05P179806","6.08923244476318","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SQSTM1"
"CD40","CD40 Molecule","Protein Coding","P25942","63","GC20P046118","6.07625865936279","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD40"
"CCR5AS","CCR5 Antisense RNA","RNA Gene","","18","GC03M046365","6.01807880401611","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR5AS"
"IL12B","Interleukin 12B","Protein Coding","P29460","57","GC05M159314","5.97748517990112","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL12B"
"PANK2","Pantothenate Kinase 2","Protein Coding","Q9BZ23","57","GC20P009571","5.95946550369263","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PANK2"
"CLEC7A","C-Type Lectin Domain Containing 7A","Protein Coding","Q9BXN2","58","GC12M033111","5.90703296661377","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLEC7A"
"LINC02605","Long Intergenic Non-Protein Coding RNA 2605","RNA Gene","","22","GC08P078838","5.90481328964233","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC02605"
"CASP8","Caspase 8","Protein Coding","Q14790","65","GC02P201233","5.89112138748169","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP8"
"STAT3","Signal Transducer And Activator Of Transcription 3","Protein Coding","P40763","66","GC17M042313","5.8707160949707","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT3"
"TAT","Tyrosine Aminotransferase","Protein Coding","P17735","57","GC16M071565","5.86280250549316","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAT"
"HTRA2","HtrA Serine Peptidase 2","Protein Coding","O43464","59","GC02P074529","5.86232900619507","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTRA2"
"IL1RN","Interleukin 1 Receptor Antagonist","Protein Coding","P18510","62","GC02P148590","5.84488534927368","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1RN"
"ABCB1","ATP Binding Cassette Subfamily B Member 1","Protein Coding","P08183","64","GC07M087504","5.84021425247192","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCB1"
"PNP","Purine Nucleoside Phosphorylase","Protein Coding","P00491","62","GC14P051461","5.83934545516968","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PNP"
"UNG","Uracil DNA Glycosylase","Protein Coding","P13051","59","GC12P109097","5.82618093490601","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UNG"
"TYROBP","Transmembrane Immune Signaling Adaptor TYROBP","Protein Coding","O43914","55","GC19M035904","5.78138637542725","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TYROBP"
"CCL11","C-C Motif Chemokine Ligand 11","Protein Coding","P51671","58","GC17P034285","5.77468347549438","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL11"
"FASLG","Fas Ligand","Protein Coding","P48023","61","GC01P172659","5.76514768600464","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FASLG"
"CD79A","CD79a Molecule","Protein Coding","P11912","61","GC19P041877","5.73675394058228","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD79A"
"APP","Amyloid Beta Precursor Protein","Protein Coding","P05067","63","GC21M025880","5.72515106201172","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APP"
"CYP27A1","Cytochrome P450 Family 27 Subfamily A Member 1","Protein Coding","Q02318","59","GC02P218781","5.7203631401062","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP27A1"
"OXCT1","3-Oxoacid CoA-Transferase 1","Protein Coding","P55809","58","GC05M041732","5.65689945220947","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OXCT1"
"SOD1","Superoxide Dismutase 1","Protein Coding","P00441","66","GC21P031659","5.65467357635498","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOD1"
"HLA-DRB1","Major Histocompatibility Complex, Class II, DR Beta 1","Protein Coding","P01911","59","GC06M100352","5.62851190567017","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DRB1"
"RN7SK","RNA Component Of 7SK Nuclear Ribonucleoprotein","RNA Gene","","26","GC06P052995","5.62314796447754","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RN7SK"
"GBA1","Glucosylceramidase Beta 1","Protein Coding","P04062","62","GC01M165117","5.60465335845947","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GBA1"
"NEAT1","Nuclear Paraspeckle Assembly Transcript 1","RNA Gene","","33","GC11P098966","5.59005355834961","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEAT1"
"TNFRSF1A","TNF Receptor Superfamily Member 1A","Protein Coding","P19438","62","GC12M006328","5.5388240814209","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF1A"
"PNKD","PNKD Metallo-Beta-Lactamase Domain Containing","Protein Coding","Q8N490","54","GC02P218270","5.49891233444214","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PNKD"
"CLPB","ClpB Family Mitochondrial Disaggregase","Protein Coding","Q9H078","56","GC11M133042","5.48652982711792","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLPB"
"SLC25A24","Solute Carrier Family 25 Member 24","Protein Coding","Q6NUK1","54","GC01M108134","5.48652982711792","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A24"
"TRNT1","TRNA Nucleotidyl Transferase 1","Protein Coding","Q96Q11","54","GC03P003126","5.48652982711792","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRNT1"
"CXCL8","C-X-C Motif Chemokine Ligand 8","Protein Coding","P10145","56","GC04P073740","5.47214317321777","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL8"
"GALC","Galactosylceramidase","Protein Coding","P54803","57","GC14M087837","5.42385053634644","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GALC"
"CRP","C-Reactive Protein","Protein Coding","P02741","58","GC01M165279","5.39424896240234","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRP"
"CSF3","Colony Stimulating Factor 3","Protein Coding","P09919","54","GC17P040015","5.37756967544556","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSF3"
"ATP13A2","ATPase Cation Transporting 13A2","Protein Coding","Q9NQ11","56","GC01M016985","5.29394435882568","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP13A2"
"PRKDC","Protein Kinase, DNA-Activated, Catalytic Subunit","Protein Coding","P78527","63","GC08M047773","5.27685594558716","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKDC"
"NLRP3","NLR Family Pyrin Domain Containing 3","Protein Coding","Q96P20","61","GC01P247539","5.22078371047974","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NLRP3"
"SNCA","Synuclein Alpha","Protein Coding","P37840","65","GC04M089724","5.19984912872314","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNCA"
"CCR3","C-C Motif Chemokine Receptor 3","Protein Coding","P51677","57","GC03P061350","5.19784116744995","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR3"
"CTLA4","Cytotoxic T-Lymphocyte Associated Protein 4","Protein Coding","P16410","61","GC02P204352","5.18687009811401","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTLA4"
"VCP","Valosin Containing Protein","Protein Coding","P55072","62","GC09M035431","5.15865278244019","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VCP"
"BRCA1","BRCA1 DNA Repair Associated","Protein Coding","P38398","63","GC17M043044","5.13397741317749","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRCA1"
"SAMHD1","SAM And HD Domain Containing Deoxynucleoside Triphosphate Triphosphohydrolase 1","Protein Coding","Q9Y3Z3","55","GC20M036890","5.11909818649292","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SAMHD1"
"BCL2","BCL2 Apoptosis Regulator","Protein Coding","P10415","63","GC18M063123","5.09729909896851","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2"
"PRF1","Perforin 1","Protein Coding","P14222","59","GC10M070597","5.07464408874512","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRF1"
"CYCS","Cytochrome C, Somatic","Protein Coding","P99999","61","GC07M025118","5.07311868667603","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYCS"
"EPO","Erythropoietin","Protein Coding","P01588","55","GC07P100720","5.04041290283203","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPO"
"TARDBP","TAR DNA Binding Protein","Protein Coding","Q13148","59","GC01P060311","5.02484941482544","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TARDBP"
"PLA2G6","Phospholipase A2 Group VI","Protein Coding","O60733","59","GC22M083204","5.02069044113159","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLA2G6"
"SERAC1","Serine Active Site Containing 1","Protein Coding","Q96JX3","49","GC06M158109","4.99954891204834","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERAC1"
"MAPT","Microtubule Associated Protein Tau","Protein Coding","P10636","62","GC17P045894","4.97621631622314","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPT"
"EGFR","Epidermal Growth Factor Receptor","Protein Coding","P00533","68","GC07P055019","4.9334511756897","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGFR"
"IL1A","Interleukin 1 Alpha","Protein Coding","P01583","58","GC02M112773","4.93107843399048","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1A"
"SPR","Sepiapterin Reductase","Protein Coding","P35270","62","GC02P072887","4.92229080200195","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPR"
"KIR3DL1","Killer Cell Immunoglobulin Like Receptor, Three Ig Domains And Long Cytoplasmic Tail 1","Protein Coding","P43629","51","GC19P133684","4.87608766555786","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIR3DL1"
"ABCD1","ATP Binding Cassette Subfamily D Member 1","Protein Coding","P33897","59","GC0XP153724","4.86015605926514","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCD1"
"ELANE","Elastase, Neutrophil Expressed","Protein Coding","P08246","63","GC19P131807","4.81642246246338","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELANE"
"BST2","Bone Marrow Stromal Cell Antigen 2","Protein Coding","Q10589","52","GC19M100564","4.7855281829834","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BST2"
"BRCA2","BRCA2 DNA Repair Associated","Protein Coding","P51587","60","GC13P032315","4.76477336883545","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRCA2"
"IL7","Interleukin 7","Protein Coding","P13232","55","GC08M078689","4.73650741577148","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL7"
"CYP3A4","Cytochrome P450 Family 3 Subfamily A Member 4","Protein Coding","P08684","61","GC07M106050","4.71122598648071","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP3A4"
"LOC106627981","GBA Recombination Region","Functional Element","","11","GC01P155233","4.69684886932373","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC106627981"
"MPO","Myeloperoxidase","Protein Coding","P05164","65","GC17M058269","4.66970634460449","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MPO"
"TGFB1","Transforming Growth Factor Beta 1","Protein Coding","P01137","65","GC19M041301","4.64031648635864","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB1"
"IL13","Interleukin 13","Protein Coding","P35225","56","GC05P132656","4.63921737670898","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL13"
"IL19","Interleukin 19","Protein Coding","Q9UHD0","52","GC01P206770","4.63698959350586","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL19"
"NGF","Nerve Growth Factor","Protein Coding","P01138","63","GC01M115285","4.61458539962769","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NGF"
"HSPD1","Heat Shock Protein Family D (Hsp60) Member 1","Protein Coding","P10809","61","GC02M197486","4.60578536987305","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPD1"
"ADA2","Adenosine Deaminase 2","Protein Coding","Q9NZK5","54","GC22M017342","4.59650135040283","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADA2"
"STAT1","Signal Transducer And Activator Of Transcription 1","Protein Coding","P42224","66","GC02M190908","4.58936643600464","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT1"
"CXCL10","C-X-C Motif Chemokine Ligand 10","Protein Coding","P02778","56","GC04M076021","4.57696628570557","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL10"
"CD8A","CD8 Subunit Alpha","Protein Coding","P01732","61","GC02M086784","4.56632852554321","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD8A"
"PARK7","Parkinsonism Associated Deglycase","Protein Coding","Q99497","60","GC01P060126","4.54935693740845","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PARK7"
"CXCR1","C-X-C Motif Chemokine Receptor 1","Protein Coding","P25024","56","GC02M218162","4.54901456832886","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCR1"
"STAT2","Signal Transducer And Activator Of Transcription 2","Protein Coding","P52630","62","GC12M056341","4.53899574279785","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT2"
"NDUFA5","NADH:Ubiquinone Oxidoreductase Subunit A5","Protein Coding","Q16718","52","GC07M123536","4.52130365371704","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFA5"
"IFNGR1","Interferon Gamma Receptor 1","Protein Coding","P15260","63","GC06M137197","4.50697755813599","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNGR1"
"CHAT","Choline O-Acetyltransferase","Protein Coding","P28329","61","GC10P049609","4.47353601455688","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHAT"
"SLC39A8","Solute Carrier Family 39 Member 8","Protein Coding","Q9C0K1","56","GC04M102252","4.46997404098511","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC39A8"
"SLC37A4","Solute Carrier Family 37 Member 4","Protein Coding","O43826","54","GC11M133861","4.46997404098511","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC37A4"
"TAFAZZIN","Tafazzin, Phospholipid-Lysophospholipid Transacylase","Protein Coding","Q16635","54","GC0XP154968","4.46997404098511","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAFAZZIN"
"AFG2A","AFG2 AAA ATPase Homolog A","Protein Coding","Q8NB90","52","GC04P122923","4.46997404098511","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AFG2A"
"PINK1","PTEN Induced Kinase 1","Protein Coding","Q9BXM7","59","GC01P060852","4.46768808364868","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PINK1"
"ITGB2","Integrin Subunit Beta 2","Protein Coding","P05107","63","GC21M044885","4.44930458068848","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGB2"
"MC2R","Melanocortin 2 Receptor","Protein Coding","Q01718","58","GC18M036029","4.44644498825073","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MC2R"
"GPT2","Glutamic--Pyruvic Transaminase 2","Protein Coding","Q8TD30","58","GC16P105274","4.44227600097656","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPT2"
"CCL4","C-C Motif Chemokine Ligand 4","Protein Coding","P13236","52","GC17P036103","4.43392658233643","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL4"
"IL15","Interleukin 15","Protein Coding","P40933","55","GC04P141636","4.42206907272339","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL15"
"SLC6A3","Solute Carrier Family 6 Member 3","Protein Coding","Q01959","63","GC05M001392","4.42177057266235","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC6A3"
"LCK","LCK Proto-Oncogene, Src Family Tyrosine Kinase","Protein Coding","P06239","64","GC01P032251","4.40846347808838","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LCK"
"POLG2","DNA Polymerase Gamma 2, Accessory Subunit","Protein Coding","Q9UHN1","52","GC17M064477","4.40483903884888","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLG2"
"MCM3AP","Minichromosome Maintenance Complex Component 3 Associated Protein","Protein Coding","O60318","52","GC21M046235","4.39893579483032","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MCM3AP"
"PTPRC","Protein Tyrosine Phosphatase Receptor Type C","Protein Coding","P08575","65","GC01P198607","4.39886951446533","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPRC"
"APOBEC3G","Apolipoprotein B MRNA Editing Enzyme Catalytic Subunit 3G","Protein Coding","Q9HC16","52","GC22P081519","4.38546895980835","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOBEC3G"
"IFNA2","Interferon Alpha 2","Protein Coding","P01563","55","GC09M021384","4.38040590286255","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA2"
"FBXL4","F-Box And Leucine Rich Repeat Protein 4","Protein Coding","Q9UKA2","51","GC06M098868","4.37568855285645","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBXL4"
"CCDC40","Coiled-Coil Domain 40 Molecular Ruler Complex Subunit","Protein Coding","Q4G0X9","47","GC17P134782","4.37568855285645","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCDC40"
"CD27","CD27 Molecule","Protein Coding","P26842","59","GC12P046735","4.3740062713623","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD27"
"PSAP","Prosaposin","Protein Coding","P07602","61","GC10M071816","4.3698525428772","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSAP"
"DOCK8","Dedicator Of Cytokinesis 8","Protein Coding","Q8NF50","58","GC09P000312","4.3698525428772","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DOCK8"
"DHPS","Deoxyhypusine Synthase","Protein Coding","P49366","56","GC19M100369","4.35490369796753","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DHPS"
"BAX","BCL2 Associated X, Apoptosis Regulator","Protein Coding","Q07812","64","GC19P048954","4.34888505935669","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAX"
"HSP90AA1","Heat Shock Protein 90 Alpha Family Class A Member 1","Protein Coding","P07900","64","GC14M102080","4.34838342666626","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSP90AA1"
"TFRC","Transferrin Receptor","Protein Coding","P02786","63","GC03M196576","4.34336757659912","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFRC"
"LDLR","Low Density Lipoprotein Receptor","Protein Coding","P01130","64","GC19P132305","4.31818246841431","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LDLR"
"FGF2","Fibroblast Growth Factor 2","Protein Coding","P09038","58","GC04P122826","4.31680822372437","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF2"
"CP","Ceruloplasmin","Protein Coding","P00450","61","GC03M149162","4.31573152542114","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CP"
"MIR155","MicroRNA 155","RNA Gene","","30","GC21P025573","4.30653047561646","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR155"
"UBQLN2","Ubiquilin 2","Protein Coding","Q9UHD9","54","GC0XP056563","4.27224111557007","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBQLN2"
"NFKBIA","NFKB Inhibitor Alpha","Protein Coding","P25963","63","GC14M035401","4.27215671539307","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFKBIA"
"KRAS","KRAS Proto-Oncogene, GTPase","Protein Coding","P01116","66","GC12M033285","4.25544786453247","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRAS"
"HLA-DQB1","Major Histocompatibility Complex, Class II, DQ Beta 1","Protein Coding","P01920","55","GC06M100361","4.25475740432739","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DQB1"
"CTNNBL1","Catenin Beta Like 1","Protein Coding","Q8WYA6","48","GC20P044936","4.24828433990479","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNNBL1"
