Target,Common name,Uniprot ID,ChEMBL ID,Target Class,Probability*,Known actives (3D/2D)
Adenosine A3 receptor,ADORA3,P0DMS8,CHEMBL256,Family A G protein-coupled receptor,0,35 /  0     
Tyrosine-protein kinase SRC,SRC,P12931,CHEMBL267,Kinase,0,10 /  0     
Poly [ADP-ribose] polymerase-1   (by homology),PARP1,P09874,CHEMBL3105,Enzyme,0,8 /  0     
Hepatocyte growth factor receptor,MET,P08581,CHEMBL3717,Kinase,0,25 /  0     
Ribosomal protein S6 kinase 1,RPS6KB1,P23443,CHEMBL4501,Kinase,0,17 /  0     
Serine/threonine-protein kinase Aurora-A,AURKA,O14965,CHEMBL4722,Kinase,0,50 /  0     
Transforming protein p21/H-Ras-1,HRAS,P01112,CHEMBL2167,Other cytosolic protein,0,7 /  0     
Phosphodiesterase 6A,PDE6A,P16499,CHEMBL3878,Phosphodiesterase,0,7 /  0     
Cathepsin (B and K),CTSB,P07858,CHEMBL4072,Protease,0,33 /  0     
Vasopressin V2 receptor   (by homology),AVPR2,P30518,CHEMBL1790,Family A G protein-coupled receptor,0,25 /  0     
Alpha-1b adrenergic receptor,ADRA1B,P35368,CHEMBL232,Family A G protein-coupled receptor,0,40 /  0     
Caspase-3,CASP3,P42574,CHEMBL2334,Protease,0,18 /  0     
Peroxisome proliferator-activated receptor gamma,PPARG,P37231,CHEMBL235,Nuclear receptor,0,9 /  0     
Caspase-7,CASP7,P55210,CHEMBL3468,Protease,0,12 /  0     
Caspase-8,CASP8,Q14790,CHEMBL3776,Protease,0,16 /  0     
Sodium/glucose cotransporter 2,SLC5A2,P31639,CHEMBL3884,Electrochemical transporter,0,4 /  0     
Alpha-2a adrenergic receptor,ADRA2A,P08913,CHEMBL1867,Family A G protein-coupled receptor,0,11 /  0     
FK506-binding protein 1A,FKBP1A,P62942,CHEMBL1902,Isomerase,0,16 /  0     
Adrenergic receptor alpha-2,ADRA2C,P18825,CHEMBL1916,Family A G protein-coupled receptor,0,11 /  0     
HERG,KCNH2,Q12809,CHEMBL240,Voltage-gated ion channel,1,106 /  33     
Cathepsin D,CTSD,P07339,CHEMBL2581,Protease,0.065260481,345 /  205     
Renin,REN,P00797,CHEMBL286,Protease,0.045688247,783 /  569     
Beta-secretase 1,BACE1,P56817,CHEMBL4822,Protease,0.035898205,826 /  419     
Pepsin A,PGA5,P0DJD9,CHEMBL3295,Protease,0.035898205,11 /  0     
Voltage-gated potassium channel subunit Kv1.5,KCNA5,P22460,CHEMBL4306,Voltage-gated ion channel,0.035898205,76 /  0     
Gamma-secretase,PSEN2 PSENEN NCSTN APH1A PSEN1 APH1B,P49810 Q9NZ42 Q92542 Q96BI3 P49768 Q8WW43,CHEMBL2094135,Protease,0.035898205,200 /  63     
Tyrosine-protein kinase BTK,BTK,Q06187,CHEMBL5251,Kinase,0.035898205,82 /  0     
Cathepsin E,CTSE,P14091,CHEMBL3092,Protease,0.035898205,13 /  19     
Ileal bile acid transporter,SLC10A2,Q12908,CHEMBL2778,Electrochemical transporter,0.035898205,96 /  0     
MAP kinase p38 alpha,MAPK14,Q16539,CHEMBL260,Kinase,0.035898205,263 /  0     
Apoptosis regulator Bcl-2,BCL2,P10415,CHEMBL4860,Other ion channel,0.035898205,122 /  0     
Sphingosine 1-phosphate receptor Edg-5,S1PR2,O95136,CHEMBL2955,Family A G protein-coupled receptor,0.035898205,21 /  0     
Period circadian protein homolog 2,PER2,O15055,CHEMBL3751648,Unclassified protein,0.035898205,38 /  0     
Phosphodiesterase 10A   (by homology),PDE10A,Q9Y233,CHEMBL4409,Phosphodiesterase,0.035898205,769 /  0     
C-C chemokine receptor type 9,CCR9,P51686,CHEMBL5815,Family A G protein-coupled receptor,0.035898205,56 /  0     
Neuropeptide Y receptor type 5,NPY5R,Q15761,CHEMBL4561,Family A G protein-coupled receptor,0.035898205,78 /  0     
Insulin-like growth factor I receptor,IGF1R,P08069,CHEMBL1957,Kinase,0.035898205,222 /  0     
Bcl2-antagonist of cell death (BAD),BAD,Q92934,CHEMBL3817,Other cytosolic protein,0.035898205,7 /  0     
ALK tyrosine kinase receptor,ALK,Q9UM73,CHEMBL4247,Kinase,0.035898205,29 /  0     
Lysosomal Pro-X carboxypeptidase,PRCP,P42785,CHEMBL2335,Protease,0.035898205,43 /  0     
Cyclin-dependent kinase 2/cyclin E1,CCNE1 CDK2,P24864 P24941,CHEMBL1907605,Kinase,0.035898205,72 /  0     
Cyclin-dependent kinase 7/ cyclin H,CDK7 CCNH,P50613 P51946,CHEMBL2111288,Other cytosolic protein,0.035898205,50 /  0     
Vascular endothelial growth factor A,VEGFA,P15692,CHEMBL1783,Secreted protein,0.035898205,1 /  0     
Metabotropic glutamate receptor 5   (by homology),GRM5,P41594,CHEMBL3227,Family C G protein-coupled receptor,0.035898205,82 /  0     
Cyclin-dependent kinase 2,CDK2,P24941,CHEMBL301,Kinase,0.035898205,130 /  0     
Cyclin-dependent kinase 7,CDK7,P50613,CHEMBL3055,Kinase,0.035898205,15 /  0     
Liver glycogen phosphorylase,PYGL,P06737,CHEMBL2568,Enzyme,0.035898205,62 /  0     
Progesterone receptor,PGR,P06401,CHEMBL208,Nuclear receptor,0.035898205,44 /  0     
Phosphodiesterase 2A,PDE2A,O00408,CHEMBL2652,Phosphodiesterase,0.035898205,62 /  0     
Neuropeptide Y receptor type 2,NPY2R,P49146,CHEMBL4018,Family A G protein-coupled receptor,0.035898205,4 /  0     
Cytosolic phospholipase A2,PLA2G4A,P47712,CHEMBL3816,Enzyme,0.035898205,11 /  0     
Corticotropin releasing factor receptor 1,CRHR1,P34998,CHEMBL1800,Family B G protein-coupled receptor,0.035898205,144 /  0     
Glutamine synthetase,GLUL,P15104,CHEMBL4612,Ligase,0.035898205,4 /  0     
Serine/threonine-protein kinase RAF,RAF1,P04049,CHEMBL1906,Kinase,0.035898205,12 /  0     
Serine/threonine-protein kinase Aurora-B,AURKB,Q96GD4,CHEMBL2185,Kinase,0.035898205,144 /  0     
Vascular endothelial growth factor receptor 2,KDR,P35968,CHEMBL279,Kinase,0.035898205,318 /  0     
Cyclin-dependent kinase 1,CDK1,P06493,CHEMBL308,Kinase,0.035898205,135 /  0     
Interleukin-6 receptor subunit beta,IL6ST,P40189,CHEMBL3124734,Membrane receptor,0.035898205,5 /  0     
Sphingosine 1-phosphate receptor Edg-3,S1PR3,Q99500,CHEMBL3892,Family A G protein-coupled receptor,0.035898205,18 /  0     
Serine/threonine-protein kinase Aurora-A,AURKA,O14965,CHEMBL4722,Kinase,0.035898205,243 /  0     
Serine/threonine-protein kinase B-raf,BRAF,P15056,CHEMBL5145,Kinase,0.035898205,62 /  0     
Cyclin-dependent kinase 1/cyclin B1,CDK1 CCNB1,P06493 P14635,CHEMBL1907602,Other cytosolic protein,0.035898205,31 /  0     
Neurokinin 2 receptor,TACR2,P21452,CHEMBL2327,Family A G protein-coupled receptor,0.035898205,95 /  106     
Serine/threonine-protein kinase PIM1,PIM1,P11309,CHEMBL2147,Kinase,0.035898205,41 /  0     
Acetyl-coenzyme A transporter 1,SLC33A1,O00400,CHEMBL3638338,Electrochemical transporter,0.035898205,36 /  0     
Phosphodiesterase 1B,PDE1B,Q01064,CHEMBL4425,Phosphodiesterase,0.035898205,3 /  0     
Serine/threonine-protein kinase PIM2,PIM2,Q9P1W9,CHEMBL4523,Kinase,0.035898205,34 /  0     
Serine/threonine-protein kinase PIM3,PIM3,Q86V86,CHEMBL5407,Kinase,0.035898205,27 /  0     
Serotonin 2a (5-HT2a) receptor,HTR2A,P28223,CHEMBL224,Family A G protein-coupled receptor,0.035898205,101 /  49     
Tyrosine-protein kinase JAK3,JAK3,P52333,CHEMBL2148,Kinase,0.035898205,109 /  0     
Tyrosine-protein kinase JAK2,JAK2,O60674,CHEMBL2971,Kinase,0.035898205,176 /  0     
Interleukin-8 receptor A,CXCR1,P25024,CHEMBL4029,Family A G protein-coupled receptor,0.035898205,63 /  0     
"Indoleamine 2,3-dioxygenase",IDO1,P14902,CHEMBL4685,Enzyme,0.035898205,10 /  0     
Hepatocyte growth factor receptor,MET,P08581,CHEMBL3717,Kinase,0.035898205,135 /  0     
C-X3-C chemokine receptor 1,CX3CR1,P49238,CHEMBL4843,Family A G protein-coupled receptor,0.035898205,45 /  0     
Matrix metalloproteinase 3,MMP3,P08254,CHEMBL283,Protease,0.035898205,131 /  252     
Tyrosine-protein kinase SYK,SYK,P43405,CHEMBL2599,Kinase,0.035898205,270 /  0     
L-lactate dehydrogenase A chain,LDHA,P00338,CHEMBL4835,Enzyme,0.035898205,3 /  0     
Cytochrome P450 3A4,CYP3A4,P08684,CHEMBL340,Cytochrome P450,0.035898205,22 /  0     
Melanocortin receptor 4,MC4R,P32245,CHEMBL259,Family A G protein-coupled receptor,0.035898205,49 /  202     
Carbonic anhydrase II,CA2,P00918,CHEMBL205,Lyase,0.035898205,38 /  3     
Platelet activating factor receptor,PTAFR,P25105,CHEMBL250,Family A G protein-coupled receptor,0.035898205,48 /  0     
Vasopressin V2 receptor   (by homology),AVPR2,P30518,CHEMBL1790,Family A G protein-coupled receptor,0.035898205,61 /  27     
Oxytocin receptor   (by homology),OXTR,P30559,CHEMBL2049,Family A G protein-coupled receptor,0.035898205,160 /  43     
Bile acid receptor FXR,NR1H4,Q96RI1,CHEMBL2047,Nuclear receptor,0.035898205,29 /  0     
AMP deaminase 3,AMPD3,Q01432,CHEMBL2912,Enzyme,0.035898205,10 /  0     
Thrombin,F2,P00734,CHEMBL204,Protease,0.035898205,145 /  125     
Nicotinamide phosphoribosyltransferase,NAMPT,P43490,CHEMBL1744525,Enzyme,0.035898205,37 /  0     
Phosphodiesterase 1A,PDE1A,P54750,CHEMBL3421,Phosphodiesterase,0.035898205,3 /  0     
PI3-kinase p110-alpha subunit,PIK3CA,P42336,CHEMBL4005,Enzyme,0.035898205,598 /  0     
Cytochrome P450 2C9,CYP2C9,P11712,CHEMBL3397,Cytochrome P450,0.035898205,17 /  0     
Cytochrome P450 2C19,CYP2C19,P33261,CHEMBL3622,Cytochrome P450,0.035898205,11 /  0     
Fatty acid synthase,FASN,P49327,CHEMBL4158,Transferase,0.035898205,164 /  0     
Beta secretase 2,BACE2,Q9Y5Z0,CHEMBL2525,Protease,0.035898205,67 /  52     
Epidermal growth factor receptor erbB1,EGFR,P00533,CHEMBL203,Kinase,0.035898205,261 /  0     
3-phosphoinositide dependent protein kinase-1,PDPK1,O15530,CHEMBL2534,Kinase,0.035898205,39 /  0     
Glucose-dependent insulinotropic receptor,GPR119,Q8TDV5,CHEMBL5652,Family A G protein-coupled receptor,0.035898205,18 /  0     
2-acylglycerol O-acyltransferase 2,MOGAT2,Q3SYC2,CHEMBL2439944,Transferase,0,3 /  0     
5-lipoxygenase activating protein,ALOX5AP,P20292,CHEMBL4550,Other cytosolic protein,0,91 /  0     
Prostaglandin E synthase,PTGES,O14684,CHEMBL5658,Enzyme,0,39 /  0     
Scavenger receptor class B member 1   (by homology),SCARB1,Q8WTV0,CHEMBL1914272,Unclassified protein,0,28 /  0     
Cyclin-dependent kinase 5/CDK5 activator 1,CDK5,Q00535,CHEMBL4036,Kinase,0,37 /  0     
Isocitrate dehydrogenase [NADP] cytoplasmic,IDH1,O75874,CHEMBL2007625,Enzyme,0,16 /  0     
RAS guanyl releasing protein 3,RASGRP3,Q8IV61,CHEMBL3638,Other cytosolic protein,0,11 /  0     
Calpain 1,CAPN1,P07384,CHEMBL3891,Protease,0,121 /  66     
Dual specificity mitogen-activated protein kinase kinase 1,MAP2K1,Q02750,CHEMBL3587,Kinase,0,77 /  0     
Hypoxia-inducible factor 1 alpha,HIF1A,Q16665,CHEMBL4261,Transcription factor,0,13 /  0     
Thromboxane A2 receptor,TBXA2R,P21731,CHEMBL2069,Family A G protein-coupled receptor,0,19 /  0     
Cyclin-dependent kinase 9,CDK9,P50750,CHEMBL3116,Kinase,0,23 /  0     
Cyclin-dependent kinase 5/CDK5 activator 1,CDK5R1 CDK5,Q15078 Q00535,CHEMBL1907600,Kinase,0,105 /  0     
CDK9/cyclin T1,CDK9 CCNT1,P50750 O60563,CHEMBL2111389,Other cytosolic protein,0,30 /  0     
Sodium/glucose cotransporter 1,SLC5A1,P13866,CHEMBL4979,Electrochemical transporter,0,29 /  0     
Adenosine deaminase,ADA,P00813,CHEMBL1910,Hydrolase,0,10 /  0     
Apoptosis regulator Bcl-X,BCL2L1,Q07817,CHEMBL4625,Other ion channel,0,20 /  0     
Dihydrofolate reductase,DHFR,P00374,CHEMBL202,Oxidoreductase,0,5 /  0     
Focal adhesion kinase 1,PTK2,Q05397,CHEMBL2695,Kinase,0,27 /  0     
Neuromedin B receptor,NMBR,P28336,CHEMBL3636,Family A G protein-coupled receptor,0,6 /  0     
Tyrosine kinase non-receptor protein 2,TNK2,Q07912,CHEMBL4599,Kinase,0,75 /  0     
Pyruvate dehydrogenase kinase isoform 1,PDK1,Q15118,CHEMBL4766,Kinase,0,20 /  0     
Cathepsin D,CTSD,P07339,CHEMBL2581,Protease,0.049845722,88 /  84     
Acyl coenzyme A:cholesterol acyltransferase 1,SOAT1,P35610,CHEMBL2782,Enzyme,0.049845722,43 /  0     
Acyl coenzyme A:cholesterol acyltransferase 2,SOAT2,O75908,CHEMBL4465,Enzyme,0.049845722,57 /  0     
Von Hippel-Lindau disease tumor suppressor/Elongin B/Elongin C,VHL,P40337,CHEMBL3108660,Unclassified protein,0.049845722,7 /  0     
Renin,REN,P00797,CHEMBL286,Protease,0.049845722,269 /  172     
LDL-associated phospholipase A2,PLA2G7,Q13093,CHEMBL3514,Enzyme,0.049845722,7 /  0     
Epidermal growth factor receptor erbB1,EGFR,P00533,CHEMBL203,Kinase,0,13 /  0     
Cathepsin E,CTSE,P14091,CHEMBL3092,Protease,0,7 /  4     
Apoptosis regulator Bcl-2,BCL2,P10415,CHEMBL4860,Other ion channel,0,56 /  0     
Beta-secretase 1,BACE1,P56817,CHEMBL4822,Protease,0,110 /  213     
Induced myeloid leukemia cell differentiation protein Mcl-1,MCL1,Q07820,CHEMBL4361,Other cytosolic protein,0,32 /  0     
TRAIL receptor-1,TNFRSF10A,O00220,CHEMBL3551,Membrane receptor,0,1 /  0     
Scavenger receptor class B member 1   (by homology),SCARB1,Q8WTV0,CHEMBL1914272,Unclassified protein,0,3 /  0     
Matrix metalloproteinase 11   (by homology),MMP11,P24347,CHEMBL2867,Protease,0,4 /  0     
Apoptosis regulator Bcl-X,BCL2L1,Q07817,CHEMBL4625,Other ion channel,0,39 /  0     
P-glycoprotein 1,ABCB1,P08183,CHEMBL4302,Primary active transporter,0,32 /  0     
Adenosine deaminase,ADA,P00813,CHEMBL1910,Hydrolase,0,1 /  0     
Proteasome subunit beta type-8,PSMB8,P28062,CHEMBL5620,Protease,0,7 /  0     
Serotonin transporter,SLC6A4,P31645,CHEMBL228,Electrochemical transporter,0,32 /  0     
3-phosphoinositide dependent protein kinase-1,PDPK1,O15530,CHEMBL2534,Kinase,0,26 /  0     
Voltage-gated T-type calcium channel alpha-1H subunit,CACNA1H,O95180,CHEMBL1859,Voltage-gated ion channel,0,4 /  0     
Voltage-gated L-type calcium channel alpha-1C subunit,CACNA1C,Q13936,CHEMBL1940,Voltage-gated ion channel,0,4 /  0     
Vascular endothelial growth factor receptor 2,KDR,P35968,CHEMBL279,Kinase,0,5 /  0     
Calpain 2,CAPN2,P17655,CHEMBL2382,Protease,0,14 /  40     
Calpain 1,CAPN1,P07384,CHEMBL3891,Protease,0,19 /  43     
DNA-dependent protein kinase,PRKDC,P78527,CHEMBL3142,Kinase,0,2 /  0     
Glucocorticoid receptor,NR3C1,P04150,CHEMBL2034,Nuclear receptor,0,24 /  0     
Calcium sensing receptor,CASR,P41180,CHEMBL1878,Family C G protein-coupled receptor,0,10 /  0     
Multidrug resistance-associated protein 1,ABCC1,P33527,CHEMBL3004,Primary active transporter,0,2 /  0     
Receptor protein-tyrosine kinase erbB-2,ERBB2,P04626,CHEMBL1824,Kinase,0,6 /  0     
C-C chemokine receptor type 1,CCR1,P32246,CHEMBL2413,Family A G protein-coupled receptor,0,8 /  0     
Carbonic anhydrase I,CA1,P00915,CHEMBL261,Lyase,0,28 /  0     
Carbonic anhydrase XII,CA12,O43570,CHEMBL3242,Lyase,0,27 /  0     
Carbonic anhydrase IX,CA9,Q16790,CHEMBL3594,Lyase,0,30 /  0     
Dual specificity mitogen-activated protein kinase kinase 1,MAP2K1,Q02750,CHEMBL3587,Kinase,0,1 /  0     
Fibroblast growth factor receptor 1,FGFR1,P11362,CHEMBL3650,Kinase,0,4 /  0     
Neutral sphingomyelinase   (by homology),SMPD2,O60906,CHEMBL4712,Enzyme,0,1 /  0     
Serine/threonine-protein kinase PIM1,PIM1,P11309,CHEMBL2147,Kinase,0,2 /  0     
Tyrosine-protein kinase LCK,LCK,P06239,CHEMBL258,Kinase,0,1 /  0     
Macrophage-stimulating protein receptor,MST1R,Q04912,CHEMBL2689,Kinase,0,1 /  0     
Hepatocyte growth factor receptor,MET,P08581,CHEMBL3717,Kinase,0,3 /  0     
Tyrosine-protein kinase TIE-2,TEK,Q02763,CHEMBL4128,Kinase,0,1 /  0     
c-Jun N-terminal kinase 2,MAPK9,P45984,CHEMBL4179,Kinase,0,7 /  0     
Serine/threonine-protein kinase Aurora-A,AURKA,O14965,CHEMBL4722,Kinase,0,4 /  0     
Tyrosine-protein kinase BTK,BTK,Q06187,CHEMBL5251,Kinase,0,2 /  0     
Hepatocyte growth factor,HGF,P14210,CHEMBL5479,Unclassified protein,0,1 /  0     
C-C chemokine receptor type 3,CCR3,P51677,CHEMBL3473,Family A G protein-coupled receptor,0,10 /  0     
Gamma-secretase,PSENEN,Q9NZ42,CHEMBL2374,Enzyme,0,1 /  0     
Heat shock protein HSP 90-beta,HSP90AB1,P08238,CHEMBL4303,Other cytosolic protein,0,8 /  0     
Proteinase-activated receptor 1,F2R,P25116,CHEMBL3974,Family A G protein-coupled receptor,0,1 /  0     
Hepatic lipase,LIPC,P11150,CHEMBL2127,Enzyme,0,3 /  0     
c-Jun N-terminal kinase 1,MAPK8,P45983,CHEMBL2276,Kinase,0,8 /  0     
Endothelial lipase,LIPG,Q9Y5X9,CHEMBL5080,Hydrolase,0,2 /  0     
Hematopoietic prostaglandin D synthase,HPGDS,O60760,CHEMBL5879,Transferase,0,2 /  0     
Cannabinoid receptor 1,CNR1,P21554,CHEMBL218,Family A G protein-coupled receptor,0,2 /  0     
Endothelin-converting enzyme 1,ECE1,P42892,CHEMBL4791,Protease,0,0 /  9     
PI3-kinase p110-gamma subunit,PIK3CG,P48736,CHEMBL3267,Enzyme,0,5 /  0     
"Nitric oxide synthase, inducible",NOS2,P35228,CHEMBL4481,Enzyme,0,2 /  0     
Stem cell growth factor receptor,KIT,P10721,CHEMBL1936,Kinase,0,1 /  0     
Alpha-1d adrenergic receptor,ADRA1D,P25100,CHEMBL223,Family A G protein-coupled receptor,0,6 /  0     
Alpha-1a adrenergic receptor,ADRA1A,P35348,CHEMBL229,Family A G protein-coupled receptor,0,6 /  0     
Alpha-1b adrenergic receptor,ADRA1B,P35368,CHEMBL232,Family A G protein-coupled receptor,0,3 /  0     
Mitogen-activated protein kinase kinase kinase 11,MAP3K11,Q16584,CHEMBL2708,Kinase,0,1 /  0     
Ileal bile acid transporter,SLC10A2,Q12908,CHEMBL2778,Electrochemical transporter,0,5 /  0     
Mitogen-activated protein kinase kinase kinase 9,MAP3K9,P80192,CHEMBL2872,Kinase,0,1 /  0     
Cholesteryl ester transfer protein,CETP,P11597,CHEMBL3572,Other ion channel,0,3 /  0     
Platelet-derived growth factor receptor beta,PDGFRB,P09619,CHEMBL1913,Kinase,0,2 /  0     
Dual specificity mitogen-activated protein kinase kinase 6,MAP2K6,P52564,CHEMBL2171,Kinase,0,1 /  0     
Death-associated protein kinase 3,DAPK3,O43293,CHEMBL2468,Kinase,0,1 /  0     
CaM kinase I alpha,CAMK1,Q14012,CHEMBL2493,Kinase,0,1 /  0     
Ribosomal protein S6 kinase alpha 1,RPS6KA1,Q15418,CHEMBL2553,Kinase,0,1 /  0     
Death-associated protein kinase 1,DAPK1,P53355,CHEMBL2558,Kinase,0,1 /  0     
MAP kinase p38 alpha,MAPK14,Q16539,CHEMBL260,Kinase,0,1 /  0     
Glycogen synthase kinase-3 beta,GSK3B,P49841,CHEMBL262,Kinase,0,1 /  0     
c-Jun N-terminal kinase 3,MAPK10,P53779,CHEMBL2637,Kinase,0,1 /  0     
Glycogen synthase kinase-3 alpha,GSK3A,P49840,CHEMBL2850,Kinase,0,1 /  0     
Dual specificity mitogen-activated protein kinase kinase 4,MAP2K4,P45985,CHEMBL2897,Kinase,0,1 /  0     
Cyclin-dependent kinase 7,CDK7,P50613,CHEMBL3055,Kinase,0,1 /  0     
Death-associated protein kinase 2,DAPK2,Q9UIK4,CHEMBL3123,Kinase,0,1 /  0     
Prostanoid EP3 receptor,PTGER3,P43115,CHEMBL3710,Family A G protein-coupled receptor,0,3 /  0     
LIM domain kinase 1,LIMK1,P53667,CHEMBL3836,Kinase,0,1 /  0     
Serine/threonine-protein kinase 16,STK16,O75716,CHEMBL3938,Kinase,0,1 /  0     
MAP kinase p38 beta,MAPK11,Q15759,CHEMBL3961,Kinase,0,1 /  0     
Dual specificity protein kinase TTK,TTK,P33981,CHEMBL3983,Kinase,0,1 /  0     
Serine/threonine-protein kinase 17A,STK17A,Q9UEE5,CHEMBL4525,Kinase,0,1 /  0     
HLA-DR antigens-associated invariant chain,CD74,P04233,CHEMBL4692,Surface antigen,0,3 /  0     
MAP kinase-interacting serine/threonine-protein kinase MNK1,MKNK1,Q9BUB5,CHEMBL4718,Kinase,0,1 /  0     
Serine/threonine-protein kinase NEK7,NEK7,Q8TDX7,CHEMBL4849,Kinase,0,1 /  0     
Serine/threonine-protein kinase Nek5,NEK5,Q6P3R8,CHEMBL5044,Kinase,0,1 /  0     
CaM kinase I delta,CAMK1D,Q8IU85,CHEMBL5073,Kinase,0,1 /  0     
Mitogen-activated protein kinase 6,MAPK6,Q16659,CHEMBL5121,Kinase,0,1 /  0     
Mitogen-activated protein kinase 15,MAPK15,Q8TD08,CHEMBL5198,Kinase,0,1 /  0     
CaM kinase I gamma,CAMK1G,Q96NX5,CHEMBL5258,Kinase,0,1 /  0     
Mitogen-activated protein kinase 7,MAPK7,Q13164,CHEMBL5332,Kinase,0,1 /  0     
PITSLRE serine/threonine-protein kinase CDC2L2,CDK11A,Q9UQ88,CHEMBL5416,Kinase,0,1 /  0     
Myosin light chain kinase family member 4,MYLK4,Q86YV6,CHEMBL5426,Kinase,0,1 /  0     
"Chaperone activity of bc1 complex-like, mitochondrial",COQ8A,Q8NI60,CHEMBL5550,Enzyme,0,1 /  0     
Citron Rho-interacting kinase,CIT,O14578,CHEMBL5579,Kinase,0,1 /  0     
NUAK family SNF1-like kinase 2,NUAK2,Q9H093,CHEMBL5698,Kinase,0,1 /  0     
Uncharacterized aarF domain-containing protein kinase 4,COQ8B,Q96D53,CHEMBL5753,Kinase,0,1 /  0     
C-C chemokine receptor type 8,CCR8,P51685,CHEMBL4596,Family A G protein-coupled receptor,0.783007579,35 /  51     
Protein-glutamine gamma-glutamyltransferase,TGM2,P21980,CHEMBL2730,Enzyme,0.119347426,50 /  84     
Protein-glutamine gamma-glutamyltransferase K,TGM1,P22735,CHEMBL2810,Enzyme,0.119347426,21 /  38     
Coagulation factor XIII,F13A1,P00488,CHEMBL4530,Aminoacyltransferase,0.119347426,23 /  51     
Transient receptor potential cation channel subfamily V member 4,TRPV4,Q9HBA0,CHEMBL3119,Voltage-gated ion channel,0.110612204,17 /  17     
Sodium channel protein type IX alpha subunit,SCN9A,Q15858,CHEMBL4296,Voltage-gated ion channel,0.110612204,173 /  0     
Butyrylcholinesterase,BCHE,P06276,CHEMBL1914,Hydrolase,0.110612204,94 /  0     
Phosphodiesterase 10A   (by homology),PDE10A,Q9Y233,CHEMBL4409,Phosphodiesterase,0.110612204,1560 /  0     
Cyclooxygenase-2,PTGS2,P35354,CHEMBL230,Oxidoreductase,0.110612204,549 /  0     
Phosphodiesterase 4A,PDE4A,P27815,CHEMBL254,Phosphodiesterase,0.110612204,143 /  0     
Phosphodiesterase 4B,PDE4B,Q07343,CHEMBL275,Phosphodiesterase,0.110612204,261 /  0     
Phosphodiesterase 4D,PDE4D,Q08499,CHEMBL288,Phosphodiesterase,0.110612204,123 /  0     
Phosphodiesterase 4C,PDE4C,Q08493,CHEMBL291,Phosphodiesterase,0.110612204,42 /  0     
MAP kinase p38 alpha,MAPK14,Q16539,CHEMBL260,Kinase,0.110612204,1209 /  0     
Phosphodiesterase 5A,PDE5A,O76074,CHEMBL1827,Phosphodiesterase,0.110612204,358 /  0     
Vascular endothelial growth factor receptor 1,FLT1,P17948,CHEMBL1868,Kinase,0.110612204,175 /  0     
Geranylgeranyl transferase type I,PGGT1B FNTA,P53609 P49354,CHEMBL2095164,Enzyme,0.110612204,120 /  0     
Vascular endothelial growth factor receptor 2,KDR,P35968,CHEMBL279,Kinase,0.110612204,1043 /  0     
Anandamide amidohydrolase,FAAH,O00519,CHEMBL2243,Enzyme,0.110612204,397 /  0     
C-C chemokine receptor type 1,CCR1,P32246,CHEMBL2413,Family A G protein-coupled receptor,0.110612204,98 /  0     
Smoothened homolog,SMO,Q99835,CHEMBL5971,Frizzled family G protein-coupled receptor,0.110612204,257 /  0     
Tyrosine-protein kinase SYK,SYK,P43405,CHEMBL2599,Kinase,0.110612204,349 /  0     
Neurokinin 3 receptor,TACR3,P29371,CHEMBL4429,Family A G protein-coupled receptor,0.110612204,196 /  0     
C-X-C chemokine receptor type 3,CXCR3,P49682,CHEMBL4441,Family A G protein-coupled receptor,0.110612204,52 /  0     
Epidermal growth factor receptor erbB1,EGFR,P00533,CHEMBL203,Kinase,0.110612204,748 /  0     
Sphingosine 1-phosphate receptor Edg-3,S1PR3,Q99500,CHEMBL3892,Family A G protein-coupled receptor,0.110612204,118 /  0     
Vanilloid receptor,TRPV1,Q8NER1,CHEMBL4794,Voltage-gated ion channel,0.110612204,531 /  0     
TGF-beta receptor type I,TGFBR1,P36897,CHEMBL4439,Kinase,0.110612204,238 /  11     
Platelet-derived growth factor receptor beta,PDGFRB,P09619,CHEMBL1913,Kinase,0.110612204,124 /  0     
Nerve growth factor receptor Trk-A,NTRK1,P04629,CHEMBL2815,Kinase,0.110612204,225 /  0     
Proteinase-activated receptor 1,F2R,P25116,CHEMBL3974,Family A G protein-coupled receptor,0.110612204,80 /  0     
Platelet-derived growth factor receptor alpha,PDGFRA,P16234,CHEMBL2007,Kinase,0.110612204,80 /  0     
Fibroblast growth factor receptor 1,FGFR1,P11362,CHEMBL3650,Kinase,0.110612204,122 /  0     
Cyclin-dependent kinase 5/CDK5 activator 1,CDK5R1 CDK5,Q15078 Q00535,CHEMBL1907600,Kinase,0.110612204,237 /  0     
Tyrosine-protein kinase SRC,SRC,P12931,CHEMBL267,Kinase,0.110612204,319 /  0     
Protein kinase C delta,PRKCD,Q05655,CHEMBL2996,Kinase,0.110612204,57 /  0     
Protein kinase C theta,PRKCQ,Q04759,CHEMBL3920,Kinase,0.110612204,81 /  0     
Receptor protein-tyrosine kinase erbB-2,ERBB2,P04626,CHEMBL1824,Kinase,0.110612204,200 /  0     
MAP kinase-activated protein kinase 2,MAPKAPK2,P49137,CHEMBL2208,Kinase,0.110612204,152 /  0     
Metabotropic glutamate receptor 5,GRM5,P41594,CHEMBL3227,Family C G protein-coupled receptor,0.110612204,985 /  0     
Serine/threonine-protein kinase TAO1,TAOK1,Q7L7X3,CHEMBL5261,Kinase,0.110612204,34 /  0     
