Target,Common name,Uniprot ID,ChEMBL ID,Target Class,Probability*,Known actives (3D/2D)
Serine/threonine-protein kinase haspin,HASPIN,Q8TF76,CHEMBL1075163,Kinase,0,2 /  0     
Plasma kallikrein,KLKB1,P03952,CHEMBL2000,Protease,0,3 /  0     
Coagulation factor XII,F12,P00748,CHEMBL2821,Protease,0,1 /  0     
Coagulation factor VII/tissue factor,F3,P13726,CHEMBL4081,Surface antigen,0,1 /  0     
Lethal(3)malignant brain tumor-like protein 1,L3MBTL1,Q9Y468,CHEMBL1287622,Reader,0,21 /  32     
Ephrin type-A receptor 2,EPHA2,P29317,CHEMBL2068,Kinase,0,6 /  0     
Inhibitor of nuclear factor kappa B kinase epsilon subunit,IKBKE,Q14164,CHEMBL3529,Kinase,0,17 /  0     
Serine/threonine-protein kinase NEK2,NEK2,P51955,CHEMBL3835,Kinase,0,6 /  0     
Adenosine A1 receptor   (by homology),ADORA1,P30542,CHEMBL226,Family A G protein-coupled receptor,0.100578902,308 /  159     
Adenosine A3 receptor,ADORA3,P0DMS8,CHEMBL256,Family A G protein-coupled receptor,0.100578902,109 /  90     
Adenosine A2a receptor,ADORA2A,P29274,CHEMBL251,Family A G protein-coupled receptor,0.100578902,225 /  108     
Tyrosine-protein kinase JAK3,JAK3,P52333,CHEMBL2148,Kinase,0.100578902,142 /  43     
Tyrosine-protein kinase JAK1,JAK1,P23458,CHEMBL2835,Kinase,0.100578902,133 /  125     
Tyrosine-protein kinase JAK2,JAK2,O60674,CHEMBL2971,Kinase,0.100578902,224 /  75     
Angiotensin-converting enzyme,ACE,P12821,CHEMBL1808,Protease,0.100578902,4 /  0     
Metabotropic glutamate receptor 4,GRM4,Q14833,CHEMBL2736,Family C G protein-coupled receptor,0.100578902,45 /  0     
Monoamine oxidase B,MAOB,P27338,CHEMBL2039,Oxidoreductase,0.100578902,351 /  19     
Muscarinic acetylcholine receptor M1   (by homology),CHRM1,P11229,CHEMBL216,Family A G protein-coupled receptor,0.100578902,121 /  90     
Vascular endothelial growth factor receptor 1,FLT1,P17948,CHEMBL1868,Kinase,0.100578902,77 /  0     
Potassium channel subfamily K member 3,KCNK3,O14649,CHEMBL2321613,Voltage-gated ion channel,0.100578902,34 /  0     
Potassium channel subfamily K member 9,KCNK9,Q9NPC2,CHEMBL2321614,Voltage-gated ion channel,0.100578902,25 /  0     
Estradiol 17-beta-dehydrogenase 3,HSD17B3,P37058,CHEMBL4234,Enzyme,0.100578902,21 /  0     
Anandamide amidohydrolase,FAAH,O00519,CHEMBL2243,Enzyme,0.100578902,42 /  0     
Metabotropic glutamate receptor 1,GRM1,Q13255,CHEMBL3772,Family C G protein-coupled receptor,0.100578902,10 /  0     
Bradykinin B2 receptor,BDKRB2,P30411,CHEMBL3157,Family A G protein-coupled receptor,0.100578902,17 /  0     
Polyadenylate-binding protein 1,PABPC1,P11940,CHEMBL1293286,Unclassified protein,0.100578902,13 /  0     
